Common name,Type,Scientific name,Helps,Helped by,Attracts,-Repels/+distracts,Avoid,Comments
squash,vegetable,Cucurbita spp.,"corn, legumes, okra, nasturtium, clover","beans, buckwheat, borage, catnip, tansy, radishes, marigolds, nasturtiums","spiders, ground beetles",,,"radishes can be used as a trap crop against flea beetles, cucurbita can be used in the three sisters technique. marigolds[30] and nasturtiums repel squash bugs.[12][66] marigolds repel cucumber beetles.[30]"
stinging nettle,herb,Urtica dioica,"chamomile, mint, broccoli, tomatoes, valerian, Angelica archangelica, marjoram, sage, peppermint",,,aphids,,
strawberry,fruit,Fragaria x ananassa,"bush beans, lettuce, onions, spinach, passion fruit, fruit trees","caraway, bush beans, lupin, onions, sage, thyme, borage","slugs, snails",,"brassicas, tomatoes, potatoes, eggplant, peppers, melons, okra, mint, chrysanthemums, roses, apricot, cabbage",thyme planted and/or placed next to each other help grow more strawberries quickly.
sudan grass,vegetable,Sorghum x drummondii,,,,,,
summer savory,herb,Satureja hortensis,"beans, melon, onions",,,,,also delays germination of certain foul herbs
sunflower,flower,Helianthus annuus,"peppers, corn, cucumber, soybeans, tomatoes, swan plant",swan plant,,aphids,"pole beans, potato","was grown as a companion for corn (maize) before modern europeans arrived in the americas, supposedly increases their production, ants herd aphids onto sunflowers, keeping them off neighboring plants. works as a trap plant for thrips keeping them off of bell peppers.[74] planting near swan plants help sunflowers grow rapidly."
swan plant,flower,"Gomphocarpus physocarpus, Asclepias physocarpa",sunflower,"sunflower, basil",monarch butterfly,aphids,,attracts the monarch butterfly during spring and summer. basil repels pests that attracts by the swan plant like aphids.
sweet pea,flower,Lathyrus odoratus,"alyssum, lobelia, roses, lavender, catnip","brassica, spinach, chard","bees, butterflies",aphids,,"an annual climbing plant, which is like the edible pea. makes a good decoration in your garden or fence."
sweet potato,vegetable,Ipomoea batatas,okra,okra,,,,okra and sweet potato are mutually beneficial when planted simultaneously.
tansy,flower,Tanacetum vulgare,"beans, brassicas, cucurbits, cucumbers, squash, raspberries, roses, corn, fruit trees",,"ladybugs, honeybees","Ichneumonid wasps, ants, japanese beetles, cabbage butterfly, cabbage maggot, asparagus beetle, carrot fly, striped cucumber beetles, colorado potato beetle, cutworm, flea beetle, flies, cabbage worm, squash bugs,mice",,"toxic to people and many animals, don't plant it where livestock browse. is reputed to generally repel insects (except for nectar-eating types)."
tarragon,herb,Artemisia dracunculus,"alliums, asparagus, bush beans, pole beans, fava beans, beets, brassicas, broccoli, brussels sprouts, cabbage, carrots, cauliflower, celery, chard, corn / maize, cucumber, cucurbits, eggplant or aubergine, kohlrabi, leek, legumes, lettuce, mustard, okra, onion, parsnip, peas, peppers, potato, pumpkin, radish, soybean, spinach, squash, sweet potato, tomatoes, turnips and rutabagas","chives, cilantro, garlic",,,"oregano, thyme, rosemary,sage","its scent is disliked by most pests, and this plant is also thought to have nurse plant properties, enhancing the growth and flavor of crops grown with it."
thyme,herb,Thymus vulgaris,"brassicas, cabbage, eggplant/aubergine, potato, strawberry, tomato, brussels sprouts",,hoverflies,"cabbage worm, cabbage weevil, cabbage looper, aphids, whitefly",,because it attracts syrphidae it reduces aphids through predation.[69]
tobacco,herb,Nicotiana tabacum,,,,,,
tomato,vegetable,Solanum lycopersicum,"celery, roses, peppers, asparagus, onion, chives, parsley, asparagus, marigold, nasturtium, carrot, garlic","asparagus, basil, beans, bee balm, oregano, parsley, marigold, alliums, garlic, leeks, celery, geraniums, petunias, nasturtium, borage, coriander, chives, corn, dill, mustard, fenugreek, barley, carrots, eggplant, mints, okra, sage, thyme, cucumbers, squash",,asparagus beetle,"black walnut, alfalfa, corn, fennel, chili peppers, peas, dill, potatoes, beet, brassicas, rosemary, walnut, cabbage, broccoli","black walnuts inhibit tomato growth,[12] in fact they are negative allelopathic to all other nightshade plants (chili pepper, potato, tobacco, petunia) as well, because it produces a chemical called juglone. dill attracts tomato hornworm. growing tomatoes with basil does not appear to enhance tomato flavour but studies have shown that growing them around 10 inches apart can increase the yield of tomatoes by about 20%.[81] one study shows that growing chili peppers near tomatoes in greenhouses increases tomato whitefly on the tomatoes.[61] cucumbers and squash can be used as living mulch, or green mulch, around tomato plants. the large leaves of these vining plants can help with soil moisture retention.[84]"
turnip,vegetable,Brassica rapa and Brassica napobrassica,"peas, broccoli, vetch","vetch, peas",,,"hedge mustard, buckwheat",turnips act as a trap crop for broccoli.[35] see peas regarding their mutualism with turnips.
valerian,herb,Valeriana officinalis,Echinacea,,,,,
vetch,vegetable,Vicia,,,,,,
walnut,tree,Juglans spp.,kentucky bluegrass,"european alder, vetch, crownvetch, Sericea lespedeza",,,apples,"black walnut is harmful to the growth of all nightshade plants, including *datura* or jimson weed, eggplant, mandrake, deadly nightshade or belladonna, capsicum (paprika, chile pepper), potato, tomato, and petunia."
wheat,vegetable,Triticum,,,,,,
wormwood,herb,Artemisia absinthium,"brassicas, carrots",,,ants,,wormwood should be used with caution around most vegetables since it does contain toxins.[12]
yarrow,herb,Achillea millefolium,"beans, beets, cabbage, carrots, cauliflower, chard, cucumbers, lettuce, peas, potatoes, tomatoes, grapes, melons, apples, garlic, lavender, rosemary",,"predatory wasps, ladybugs, hoverflies,damselbugs",aphids,"aster, bee balm","may increase the essential oil production of some herbs. also improves soil quality, use the leaves to enrich compost, or as mulch. because it attracts syrphidae it reduces aphids through predation.[69]"
zinnia,flower,Zinnia,"beans, tomatoes, peppers",,,whiteflies,,"attracts hummingbirds that eat whiteflies, attracts pollinators"
zucchini,fruit,Cucurbita pepo,,,,,,
